measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,349,Greenland,1,Male,22,All ages,414,Stomach cancer,2,Percent,1992,0.017411156028808935,0.019716956599051375,0.015352445451927672
1,Deaths,349,Greenland,2,Female,22,All ages,414,Stomach cancer,2,Percent,1992,0.010733214673528304,0.011900988954616403,0.009577666345017341
1,Deaths,349,Greenland,1,Male,22,All ages,414,Stomach cancer,3,Rate,1992,14.672247492986807,17.44169709088581,12.267418258471924
1,Deaths,349,Greenland,2,Female,22,All ages,414,Stomach cancer,3,Rate,1992,8.000716984554003,9.348397853071297,6.687998183631186
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1992,0.016101582181423248,0.016388515063637206,0.015674297709277397
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1992,0.0040202293171110945,0.004199068422905719,0.0036597611263201966
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1992,11.955927324292048,12.178322549116514,11.631319795797644
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1992,2.4308391335928126,2.5415157992974127,2.2140600607696084
1,Deaths,67,Japan,1,Male,22,All ages,414,Stomach cancer,2,Percent,1992,0.07397829792038559,0.07531842785255274,0.07154167867320363
1,Deaths,67,Japan,2,Female,22,All ages,414,Stomach cancer,2,Percent,1992,0.05140371687915329,0.05331686472957527,0.04723360458641257
1,Deaths,67,Japan,1,Male,22,All ages,414,Stomach cancer,3,Rate,1992,54.93116242150561,55.981521430515016,53.09960895693761
1,Deaths,67,Japan,2,Female,22,All ages,414,Stomach cancer,3,Rate,1992,31.081336370383344,32.27763343920798,28.60122239499601
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,411,Esophageal cancer,2,Percent,1994,0.01278199452359295,0.013309150207674064,0.01224636007584127
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,411,Esophageal cancer,2,Percent,1994,0.002408967933942406,0.002574379030424295,0.0022200519718488946
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,411,Esophageal cancer,3,Rate,1994,8.19513627386867,8.543455823475108,7.834978416234437
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,411,Esophageal cancer,3,Rate,1994,0.9994904019991706,1.06807627584554,0.9200222260497136
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,414,Stomach cancer,2,Percent,1994,0.029286128819286703,0.03038959725130553,0.028170061740431997
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,414,Stomach cancer,2,Percent,1994,0.020690460464588174,0.02160549628148066,0.01971750732771725
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,414,Stomach cancer,3,Rate,1994,18.77661629420122,19.516620056669055,18.045988538313342
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,414,Stomach cancer,3,Rate,1994,8.584534710213463,8.978749255209854,8.17747033668439
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,411,Esophageal cancer,2,Percent,1992,0.012160293121290524,0.01269864726275923,0.011658314629813236
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,411,Esophageal cancer,2,Percent,1992,0.0023684582081855365,0.0025305106087265593,0.002199674460006598
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,411,Esophageal cancer,3,Rate,1992,7.478119119346092,7.8298949874064006,7.155656840786187
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,411,Esophageal cancer,3,Rate,1992,0.9700431641988522,1.0372654983223568,0.9009529529567322
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,414,Stomach cancer,2,Percent,1992,0.02976231970298527,0.03089831152385575,0.02863941741934015
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,414,Stomach cancer,2,Percent,1992,0.020272720700743027,0.021120737104778423,0.01931040265205583
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,414,Stomach cancer,3,Rate,1992,18.30268427900344,18.99476324614814,17.58910573125045
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,414,Stomach cancer,3,Rate,1992,8.303135937138736,8.682213844992882,7.903637829733659
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1996,0.009238090321693114,0.009924752735975508,0.007218297015383746
